YEAR,MONTH,flight_date,flight_number,origin_airport,destination_airport,departure_delay,arrival_delay,cancelled,diverted,distance,is_delayed_15
2025.0,1.0,2025-01-01,3306.0,LAS,SHV,-1.0,-8.0,0,0,1243.0,0
2025.0,1.0,2025-01-01,3307.0,SHV,LAS,-5.0,-7.0,0,0,1243.0,0
2025.0,1.0,2025-01-01,3304.0,LAS,MEM,-6.0,-18.0,0,0,1416.0,0
2025.0,1.0,2025-01-01,3305.0,MEM,LAS,10.0,6.0,0,0,1416.0,0
2025.0,1.0,2025-01-01,2683.0,PIE,FSD,-6.0,-17.0,0,0,1334.0,0
2025.0,1.0,2025-01-01,997.0,FSD,PIE,-12.0,-2.0,0,0,1334.0,0
2025.0,1.0,2025-01-01,428.0,CVG,PGD,-9.0,-6.0,0,0,850.0,0
2025.0,1.0,2025-01-01,430.0,PGD,CVG,6.0,-4.0,0,0,850.0,0
2025.0,1.0,2025-01-01,1629.0,FAT,LAS,-10.0,-21.0,0,0,259.0,0
2025.0,1.0,2025-01-01,1701.0,LAS,FAT,-13.0,-35.0,0,0,259.0,0
2025.0,1.0,2025-01-01,3.0,LAS,BIL,-4.0,-1.0,0,0,754.0,0
2025.0,1.0,2025-01-01,4.0,BIL,LAS,-10.0,-24.0,0,0,754.0,0
2025.0,1.0,2025-01-01,1045.0,AVL,PIE,-6.0,-7.0,0,0,519.0,0
2025.0,1.0,2025-01-01,2639.0,SGF,PIE,-7.0,-18.0,0,0,895.0,0
2025.0,1.0,2025-01-01,986.0,PIE,AVL,-14.0,-19.0,0,0,519.0,0
2025.0,1.0,2025-01-01,991.0,PIE,SGF,-6.0,3.0,0,0,895.0,0
2025.0,1.0,2025-01-01,291.0,BLI,PSP,-11.0,-27.0,0,0,1078.0,0
2025.0,1.0,2025-01-01,302.0,PSP,BLI,40.0,41.0,0,0,1078.0,1
2025.0,1.0,2025-01-01,1025.0,PIE,SYR,-16.0,-30.0,0,0,1111.0,0
2025.0,1.0,2025-01-01,2610.0,PIE,FWA,109.0,92.0,0,0,912.0,1
2025.0,1.0,2025-01-01,2690.0,SYR,PIE,-15.0,6.0,0,0,1111.0,0
2025.0,1.0,2025-01-01,976.0,FWA,PIE,89.0,86.0,0,0,912.0,1
2025.0,1.0,2025-01-01,1510.0,AUS,TYS,18.0,11.0,0,0,882.0,0
2025.0,1.0,2025-01-01,3131.0,TYS,AUS,8.0,13.0,0,0,882.0,0
2025.0,1.0,2025-01-01,547.0,GRR,AUS,-1.0,19.0,0,0,1103.0,1
2025.0,1.0,2025-01-01,553.0,AUS,GRR,17.0,8.0,0,0,1103.0,0
